uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,rep_plus,ips,nb_candidats_g,taux_de_reussite_g,va_du_taux_de_reussite_g,note_a_lecrit_g,va_de_la_note_g,taux_dacces_6eme_3eme,part_presents_3eme_ordinaire_total,part_mention_ab_g,part_mention_b_g,part_mention_tb_g,part_mention_global_g
0671912P,2021-01-01,STRASBOURG,BAS-RHIN,MERTZWILLER,COLLEGE,PUBLIC,253,0,0,102.3,60,95.0,0.0,12.1,0.1,91.0,95.0,23.33,31.67,26.67,81.67
0680056S,2021-01-01,STRASBOURG,HAUT-RHIN,OTTMARSHEIM,COLLEGE,PUBLIC,346,0,0,110.4,88,100.0,,11.5,,95.0,96.0,25.00,31.82,37.50,94.32
0680105V,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,COLLEGE,PUBLIC,604,0,1,73.6,126,77.0,5.0,8.2,0.8,86.0,99.0,26.19,15.87,12.70,54.76
0680105V,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,COLLEGE,PUBLIC,604,0,1,73.6,121,69.0,-6.0,9.2,0.5,87.0,97.0,20.66,14.05,19.83,54.55
0680112C,2021-01-01,STRASBOURG,HAUT-RHIN,RIEDISHEIM,COLLEGE,PUBLIC,502,0,0,103.2,109,88.0,-2.0,10.0,-0.6,86.0,98.0,21.10,27.52,22.94,71.56
0680136D,2021-01-01,STRASBOURG,HAUT-RHIN,RIEDISHEIM,COLLEGE PRIVE,PRIVE,648,0,0,123.5,150,100.0,3.0,14.4,1.6,89.0,99.0,8.67,44.00,44.00,96.67
0681126E,2021-01-01,STRASBOURG,HAUT-RHIN,WITTENHEIM,COLLEGE,PUBLIC,505,0,0,96.3,82,87.0,-2.0,9.9,-0.3,89.0,99.0,31.71,21.95,18.29,71.95
0681190Z,2021-01-01,STRASBOURG,HAUT-RHIN,FORTSCHWIHR,COLLEGE,PUBLIC,754,0,0,115.9,167,98.0,2.0,12.6,0.6,98.0,95.0,20.96,23.35,40.12,84.43
0681368T,2021-01-01,STRASBOURG,HAUT-RHIN,THANN,COLLEGE,PUBLIC,596,0,0,96.1,107,96.0,4.0,11.6,0.3,93.0,98.0,28.04,42.06,14.02,84.11
0681368T,2021-01-01,STRASBOURG,HAUT-RHIN,THANN,COLLEGE,PUBLIC,596,0,0,96.1,93,85.0,-4.0,9.8,-0.3,95.0,96.0,31.18,19.35,21.51,72.04
0681541F,2021-01-01,STRASBOURG,HAUT-RHIN,THANN,COLLEGE,PUBLIC,304,0,0,101.1,59,98.0,4.0,12.0,0.3,93.0,92.0,15.25,37.29,35.59,88.14
0681747E,2021-01-01,STRASBOURG,HAUT-RHIN,SAINT-LOUIS,COLLEGE,PUBLIC,539,0,0,84.5,130,82.0,-2.0,10.6,0.7,88.0,98.0,19.23,17.69,18.46,55.38
0681747E,2021-01-01,STRASBOURG,HAUT-RHIN,SAINT-LOUIS,COLLEGE,PUBLIC,539,0,0,84.5,111,80.0,2.0,8.7,0.4,93.0,98.0,26.13,19.82,12.61,58.56
0681757R,2021-01-01,STRASBOURG,HAUT-RHIN,ILLZACH,COLLEGE,PUBLIC,333,0,0,78.4,72,93.0,12.0,9.9,0.9,93.0,93.0,23.61,19.44,30.56,73.61
0681961M,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,COLLEGE,PUBLIC,492,1,0,81.5,107,77.0,-3.0,9.3,-0.1,87.0,96.0,17.76,25.23,15.89,58.88
0081099B,2021-01-01,REIMS,ARDENNES,CARIGNAN,COLLEGE,PUBLIC,408,0,0,82.1,81,80.0,-6.0,9.5,-0.6,94.0,96.0,24.69,18.52,19.75,62.96
