uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,rep_plus,ips,nb_candidats_g,taux_de_reussite_g,va_du_taux_de_reussite_g,note_a_lecrit_g,va_de_la_note_g,taux_dacces_6eme_3eme,part_presents_3eme_ordinaire_total,part_mention_ab_g,part_mention_b_g,part_mention_tb_g,part_mention_global_g
0080925M,2019-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,COLLEGE,PUBLIC,309,0,1,63.2,58,74.0,5.0,8.2,0.1,79.0,92.0,24.14,20.69,12.07,56.90
0100056G,2019-01-01,REIMS,AUBE,TROYES,COLLEGE PRIVE,PRIVE,236,0,0,117.5,60,95.0,2.0,12.9,1.1,77.0,100.0,13.33,38.33,21.67,73.33
0101031S,2019-01-01,REIMS,AUBE,PONT-SAINTE-MARIE,COLLEGE,PUBLIC,643,0,0,97.5,129,69.0,-16.0,9.9,-0.9,89.0,95.0,16.28,20.93,17.05,54.26
0510051D,2019-01-01,REIMS,MARNE,SAINT-THIERRY,COLLEGE,PUBLIC,436,0,0,118.7,109,96.0,1.0,12.2,0.1,98.0,100.0,22.94,32.11,22.94,77.98
0511961E,2019-01-01,REIMS,MARNE,CORMONTREUIL,COLLEGE,PUBLIC,542,0,0,98.8,124,72.0,-14.0,10.1,-0.3,90.0,96.0,14.52,13.71,21.77,50.00
0520006Z,2019-01-01,REIMS,HAUTE-MARNE,CHATEAUVILLAIN,COLLEGE,PUBLIC,199,0,0,97.9,40,78.0,-10.0,11.0,0.4,94.0,100.0,12.50,22.50,22.50,57.50
0520794F,2019-01-01,REIMS,HAUTE-MARNE,CHALINDREY,COLLEGE,PUBLIC,213,0,0,97.6,31,71.0,,10.4,,92.0,91.0,22.58,19.35,19.35,61.29
0520822L,2019-01-01,REIMS,HAUTE-MARNE,JOINVILLE,COLLEGE,PUBLIC,309,1,0,84.7,65,88.0,1.0,10.0,-0.4,94.0,97.0,20.00,27.69,23.08,70.77
0540011U,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,CIREY-SUR-VEZOUZE,COLLEGE,PUBLIC,363,0,0,89.5,57,89.0,2.0,11.3,0.6,93.0,93.0,15.79,17.54,38.60,71.93
0540071J,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VEZELISE,COLLEGE,PUBLIC,448,0,0,114.8,85,99.0,3.0,13.4,1.0,95.0,99.0,14.12,27.06,41.18,82.35
0540071J,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VEZELISE,COLLEGE,PUBLIC,448,0,0,114.8,90,100.0,2.0,13.6,0.6,97.0,98.0,11.11,36.67,45.56,93.33
0540078S,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,CUSTINES,COLLEGE,PUBLIC,320,0,0,112.6,76,91.0,-5.0,11.5,-0.4,97.0,98.0,17.11,26.32,31.58,75.00
0541210X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,479,0,0,111.4,113,88.0,-5.0,10.8,-0.9,95.0,95.0,23.01,24.78,20.35,68.14
0541210X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,479,0,0,111.4,109,92.0,-2.0,11.5,-0.3,92.0,98.0,19.27,22.94,33.03,75.23
0541325X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,DOMBASLE-SUR-MEURTHE,COLLEGE,PUBLIC,460,0,0,110.8,100,85.0,-4.0,9.7,-1.3,91.0,100.0,29.00,23.00,13.00,65.00
0541515D,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VANDOEUVRE-LES-NANCY,COLLEGE,PUBLIC,468,1,0,79.3,106,75.0,-3.0,10.2,1.0,86.0,97.0,17.92,18.87,21.70,58.49
0541573S,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NEUVES-MAISONS,COLLEGE,PUBLIC,641,0,0,113.6,110,95.0,1.0,12.2,0.1,90.0,97.0,17.27,26.36,41.82,85.45
0541999E,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE PRIVE,PRIVE,435,0,0,110.0,101,99.0,3.0,12.5,0.2,94.0,98.0,21.78,39.60,24.75,86.14
0541999E,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE PRIVE,PRIVE,435,0,0,110.0,99,100.0,3.0,12.7,0.2,96.0,100.0,11.11,44.44,34.34,89.90
0542449U,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,ART-SUR-MEURTHE,COLLEGE PRIVE,PRIVE,90,0,0,101.0,21,100.0,,8.5,,81.0,100.0,28.57,33.33,14.29,76.19
0550018W,2019-01-01,NANCY-METZ,MEUSE,REVIGNY-SUR-ORNAIN,COLLEGE,PUBLIC,301,0,0,95.7,53,85.0,-4.0,11.0,0.1,91.0,93.0,11.32,30.19,33.96,75.47
0550024C,2019-01-01,NANCY-METZ,MEUSE,VERDUN,COLLEGE,PUBLIC,420,0,0,91.0,84,71.0,-10.0,8.6,-1.1,86.0,91.0,11.90,14.29,20.24,46.43
0570074W,2019-01-01,NANCY-METZ,MOSELLE,MOUSSEY,COLLEGE,PUBLIC,201,0,0,94.3,34,88.0,,11.4,,98.0,92.0,20.59,26.47,29.41,76.47
0570143W,2019-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,COLLEGE,PUBLIC,409,0,0,99.2,86,90.0,-2.0,12.3,0.3,81.0,98.0,17.44,24.42,34.88,76.74
0570223H,2019-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,COLLEGE PRIVE,PRIVE,290,0,0,92.4,51,96.0,4.0,9.9,-1.4,80.0,100.0,29.41,25.49,27.45,82.35
0571994H,2019-01-01,NANCY-METZ,MOSELLE,CATTENOM,COLLEGE,PUBLIC,374,0,0,113.7,93,96.0,5.0,11.9,0.6,94.0,100.0,22.58,18.28,37.63,78.49
0572015F,2019-01-01,NANCY-METZ,MOSELLE,ARS-SUR-MOSELLE,COLLEGE,PUBLIC,494,0,0,108.0,123,90.0,-4.0,10.9,-1.3,95.0,98.0,22.76,28.46,28.46,79.67
0572164T,2019-01-01,NANCY-METZ,MOSELLE,MAIZIERES-LES-METZ,COLLEGE,PUBLIC,813,0,0,101.2,180,83.0,-7.0,11.7,0.7,90.0,98.0,10.00,21.67,33.33,65.00
0572355A,2019-01-01,NANCY-METZ,MOSELLE,THIONVILLE,COLLEGE,PUBLIC,454,0,0,83.0,101,81.0,0.0,10.1,0.5,88.0,100.0,23.76,23.76,12.87,60.40
0572477H,2019-01-01,NANCY-METZ,MOSELLE,MOULINS-LES-METZ,COLLEGE,PUBLIC,309,0,0,102.2,61,87.0,-3.0,12.1,0.5,87.0,100.0,19.67,27.87,31.15,78.69
0572477H,2019-01-01,NANCY-METZ,MOSELLE,MOULINS-LES-METZ,COLLEGE,PUBLIC,309,0,0,102.2,45,96.0,1.0,11.7,-0.5,88.0,94.0,24.44,24.44,31.11,80.00
0572491Y,2019-01-01,NANCY-METZ,MOSELLE,HOMBOURG-HAUT,COLLEGE,PUBLIC,241,0,1,76.1,60,93.0,10.0,12.4,2.1,95.0,95.0,15.00,18.33,40.00,73.33
0572491Y,2019-01-01,NANCY-METZ,MOSELLE,HOMBOURG-HAUT,COLLEGE,PUBLIC,241,0,1,76.1,54,89.0,3.0,11.5,1.1,88.0,100.0,14.81,31.48,31.48,77.78
0572496D,2019-01-01,NANCY-METZ,MOSELLE,ROHRBACH-LES-BITCHE,COLLEGE,PUBLIC,534,0,0,104.2,116,91.0,-1.0,11.5,-0.1,95.0,97.0,18.10,31.90,26.72,76.72
0572585A,2019-01-01,NANCY-METZ,MOSELLE,ROMBAS,COLLEGE,PUBLIC,399,0,0,92.1,95,71.0,-11.0,9.6,-0.2,89.0,99.0,16.84,18.95,21.05,56.84
0572815A,2019-01-01,NANCY-METZ,MOSELLE,PHALSBOURG,COLLEGE,PUBLIC,567,0,0,102.5,123,80.0,-8.0,10.3,-0.6,92.0,96.0,24.39,23.58,21.95,69.92
0572930A,2019-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,COLLEGE PRIVE,PRIVE,404,0,0,113.4,99,93.0,0.0,12.4,0.8,92.0,100.0,20.20,29.29,29.29,78.79
0572932C,2019-01-01,NANCY-METZ,MOSELLE,THIONVILLE,COLLEGE PRIVE,PRIVE,1192,0,0,123.1,292,100.0,2.0,13.0,0.0,93.0,96.0,15.75,35.96,43.49,95.21
0573268T,2019-01-01,NANCY-METZ,MOSELLE,BEHREN-LES-FORBACH,COLLEGE,PUBLIC,292,0,1,68.3,60,78.0,3.0,9.5,0.4,91.0,96.0,20.00,20.00,18.33,58.33
0670004R,2019-01-01,STRASBOURG,BAS-RHIN,BISCHHEIM,COLLEGE,PUBLIC,696,0,0,82.7,161,81.0,1.0,9.2,-0.1,85.0,91.0,17.39,20.50,22.98,60.87
0670014B,2019-01-01,STRASBOURG,BAS-RHIN,DRULINGEN,COLLEGE,PUBLIC,416,0,0,101.5,71,92.0,3.0,11.4,0.8,92.0,96.0,32.39,11.27,35.21,78.87
0670017E,2019-01-01,STRASBOURG,BAS-RHIN,ERSTEIN,COLLEGE,PUBLIC,867,0,0,107.8,157,89.0,1.0,11.0,-0.2,98.0,95.0,12.74,25.48,33.12,71.34
0670065G,2019-01-01,STRASBOURG,BAS-RHIN,SCHILTIGHEIM,COLLEGE,PUBLIC,515,1,0,82.0,104,80.0,4.0,8.9,0.0,89.0,91.0,22.12,24.04,14.42,60.58
0670105A,2019-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,COLLEGE,PUBLIC,621,0,1,71.5,125,85.0,17.0,8.6,0.7,89.0,92.0,23.20,16.00,20.00,59.20
0670107C,2019-01-01,STRASBOURG,BAS-RHIN,TRUCHTERSHEIM,COLLEGE,PUBLIC,653,0,0,123.5,159,96.0,0.0,12.4,-0.5,95.0,99.0,13.21,30.19,45.91,89.31
0671508A,2019-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,COLLEGE,PUBLIC,647,1,0,77.6,142,81.0,5.0,9.8,1.2,86.0,98.0,21.83,21.83,16.20,59.86
0671508A,2019-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,COLLEGE,PUBLIC,647,1,0,77.6,141,66.0,3.0,8.2,0.6,88.0,96.0,24.82,11.35,12.77,48.94
0671598Y,2019-01-01,STRASBOURG,BAS-RHIN,VAL-DE-MODER,COLLEGE,PUBLIC,430,0,0,101.4,107,79.0,-13.0,10.7,-1.2,89.0,96.0,16.82,22.43,31.78,71.03
0671690Y,2019-01-01,STRASBOURG,BAS-RHIN,LINGOLSHEIM,COLLEGE,PUBLIC,539,0,0,91.6,108,84.0,4.0,8.9,-0.7,93.0,96.0,29.63,18.52,16.67,64.81
0671738A,2019-01-01,STRASBOURG,BAS-RHIN,NIEDERBRONN-LES-BAINS,COLLEGE,PUBLIC,376,0,0,104.5,80,89.0,0.0,12.2,1.2,94.0,98.0,17.50,21.25,42.50,81.25
0671738A,2019-01-01,STRASBOURG,BAS-RHIN,NIEDERBRONN-LES-BAINS,COLLEGE,PUBLIC,376,0,0,104.5,81,89.0,-4.0,12.7,1.1,99.0,95.0,9.88,27.16,38.27,75.31
0671912P,2019-01-01,STRASBOURG,BAS-RHIN,MERTZWILLER,COLLEGE,PUBLIC,286,0,0,99.3,49,94.0,3.0,11.9,0.5,95.0,91.0,14.29,34.69,32.65,81.63
0671960S,2019-01-01,STRASBOURG,BAS-RHIN,SCHWEIGHOUSE-SUR-MODER,COLLEGE,PUBLIC,450,0,0,106.7,106,86.0,0.0,11.3,0.7,97.0,100.0,19.81,16.98,33.96,70.75
0671987W,2019-01-01,STRASBOURG,BAS-RHIN,SAVERNE,COLLEGE,PUBLIC,443,0,0,106.7,104,93.0,2.0,11.6,0.4,97.0,94.0,16.35,18.27,47.12,81.73
0671989Y,2019-01-01,STRASBOURG,BAS-RHIN,MARLENHEIM,COLLEGE,PUBLIC,608,0,0,121.4,131,99.0,2.0,13.0,0.2,99.0,98.0,17.56,21.37,54.96,93.89
0671989Y,2019-01-01,STRASBOURG,BAS-RHIN,MARLENHEIM,COLLEGE,PUBLIC,608,0,0,121.4,141,99.0,5.0,12.3,0.4,95.0,99.0,14.18,30.50,45.39,90.07
0672133E,2019-01-01,STRASBOURG,BAS-RHIN,BARR,COLLEGE,PUBLIC,503,0,0,113.3,119,93.0,2.0,12.2,0.6,92.0,100.0,13.45,24.37,42.86,80.67
0672298J,2019-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,COLLEGE PRIVE,PRIVE,503,0,0,118.6,125,100.0,3.0,13.0,0.0,90.0,100.0,17.60,24.00,51.20,92.80
0672298J,2019-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,COLLEGE PRIVE,PRIVE,503,0,0,118.6,122,98.0,4.0,13.4,0.6,90.0,99.0,11.48,18.03,59.84,89.34
0672302N,2019-01-01,STRASBOURG,BAS-RHIN,WALBOURG,COLLEGE PRIVE,PRIVE,404,0,0,115.0,127,94.0,1.0,12.1,0.6,76.0,98.0,16.54,36.22,29.92,82.68
0680136D,2019-01-01,STRASBOURG,HAUT-RHIN,RIEDISHEIM,COLLEGE PRIVE,PRIVE,674,0,0,116.1,146,100.0,4.0,14.1,1.2,87.0,100.0,10.27,36.99,47.95,95.21
0681123B,2019-01-01,STRASBOURG,HAUT-RHIN,COLMAR,COLLEGE,PUBLIC,842,0,0,103.5,165,94.0,2.0,12.3,0.7,91.0,94.0,19.39,25.45,41.82,86.67
0880005C,2019-01-01,NANCY-METZ,VOSGES,BRUYERES,COLLEGE,PUBLIC,591,0,0,93.3,101,86.0,-3.0,11.1,0.3,88.0,100.0,23.76,15.84,30.69,70.30
0880014M,2019-01-01,NANCY-METZ,VOSGES,CORCIEUX,COLLEGE,PUBLIC,188,0,0,97.6,43,86.0,-7.0,11.1,-0.2,86.0,98.0,6.98,23.26,41.86,72.09
0880068W,2019-01-01,NANCY-METZ,VOSGES,LE VAL-D'AJOL,COLLEGE,PUBLIC,246,0,0,100.8,46,98.0,5.0,12.7,1.5,95.0,94.0,6.52,23.91,50.00,80.43
0880112U,2019-01-01,NANCY-METZ,VOSGES,NEUFCHATEAU,COLLEGE PRIVE,PRIVE,66,0,0,87.1,20,100.0,,10.8,,67.0,100.0,30.00,35.00,15.00,80.00
0880149J,2019-01-01,NANCY-METZ,VOSGES,EPINAL,COLLEGE,PUBLIC,332,0,1,64.6,87,72.0,9.0,7.8,0.1,84.0,91.0,20.69,11.49,16.09,48.28
0880418B,2019-01-01,NANCY-METZ,VOSGES,CHATEL-SUR-MOSELLE,COLLEGE,PUBLIC,421,0,0,100.4,81,94.0,1.0,11.5,-0.5,96.0,100.0,16.05,29.63,35.80,81.48
0881099S,2019-01-01,NANCY-METZ,VOSGES,SAINT-DIE-DES-VOSGES,COLLEGE,PUBLIC,467,1,0,94.4,102,79.0,-5.0,10.5,0.3,86.0,94.0,17.65,18.63,21.57,57.84
0881447V,2019-01-01,NANCY-METZ,VOSGES,SAINT-DIE-DES-VOSGES,COLLEGE,PUBLIC,212,0,0,91.3,33,88.0,,10.5,,82.0,92.0,12.12,36.36,12.12,60.61
0080011U,2019-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,COLLEGE,PUBLIC,414,0,0,116.7,80,76.0,-14.0,10.8,-0.6,91.0,96.0,12.50,21.25,27.50,61.25
0081097Z,2019-01-01,REIMS,ARDENNES,VOUZIERS,COLLEGE,PUBLIC,387,0,0,92.4,69,83.0,-5.0,10.5,-0.3,90.0,93.0,28.99,14.49,21.74,65.22
0081097Z,2019-01-01,REIMS,ARDENNES,VOUZIERS,COLLEGE,PUBLIC,387,0,0,92.4,75,76.0,-14.0,10.4,-0.3,94.0,95.0,13.33,24.00,21.33,58.67
0100019S,2019-01-01,REIMS,AUBE,SAINT-ANDRE-LES-VERGERS,COLLEGE,PUBLIC,559,0,0,87.8,126,65.0,-15.0,9.3,-0.2,88.0,98.0,15.87,17.46,16.67,50.00
0100019S,2019-01-01,REIMS,AUBE,SAINT-ANDRE-LES-VERGERS,COLLEGE,PUBLIC,559,0,0,87.8,121,69.0,-15.0,9.7,-0.3,91.0,94.0,10.74,22.31,22.31,55.37
0100028B,2019-01-01,REIMS,AUBE,VENDEUVRE-SUR-BARSE,COLLEGE,PUBLIC,248,0,0,96.0,64,70.0,-13.0,9.4,-0.5,94.0,93.0,15.63,28.13,15.63,59.38
0100055F,2019-01-01,REIMS,AUBE,SAINTE-SAVINE,COLLEGE PRIVE,PRIVE,240,0,0,107.1,44,100.0,2.0,13.2,0.0,92.0,98.0,25.00,34.09,31.82,90.91
0100905E,2019-01-01,REIMS,AUBE,ROMILLY-SUR-SEINE,COLLEGE,PUBLIC,584,1,0,81.1,136,87.0,11.0,8.4,-0.8,91.0,97.0,23.53,22.79,25.00,71.32
0510001Z,2019-01-01,REIMS,MARNE,ANGLURE,COLLEGE,PUBLIC,309,0,0,96.9,74,84.0,-8.0,11.0,-0.1,97.0,99.0,14.86,18.92,29.73,63.51
0510022X,2019-01-01,REIMS,MARNE,FERE-CHAMPENOISE,COLLEGE,PUBLIC,299,0,0,86.9,45,91.0,1.0,11.0,0.4,91.0,96.0,17.78,37.78,17.78,73.33
0510030F,2019-01-01,REIMS,MARNE,PONTFAVERGER-MORONVILLIERS,COLLEGE,PUBLIC,371,0,0,110.2,66,95.0,2.0,11.6,0.5,98.0,100.0,25.76,25.76,37.88,89.39
0510030F,2019-01-01,REIMS,MARNE,PONTFAVERGER-MORONVILLIERS,COLLEGE,PUBLIC,371,0,0,110.2,95,81.0,-2.0,10.7,0.6,100.0,98.0,15.79,24.21,28.42,68.42
0510052E,2019-01-01,REIMS,MARNE,SERMAIZE-LES-BAINS,COLLEGE,PUBLIC,379,1,0,87.2,86,88.0,5.0,8.3,-1.7,97.0,97.0,30.23,13.95,16.28,60.47
0510054G,2019-01-01,REIMS,MARNE,SEZANNE,COLLEGE,PUBLIC,506,0,0,91.4,91,84.0,-5.0,9.9,-1.0,98.0,100.0,21.98,19.78,21.98,63.74
0510054G,2019-01-01,REIMS,MARNE,SEZANNE,COLLEGE,PUBLIC,506,0,0,91.4,94,71.0,-21.0,10.7,-0.6,95.0,98.0,19.15,15.96,19.15,54.26
0511083A,2019-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,COLLEGE,PUBLIC,429,0,0,90.4,102,78.0,-11.0,9.7,-0.9,89.0,95.0,18.63,26.47,15.69,60.78
0511108C,2019-01-01,REIMS,MARNE,REIMS,COLLEGE,PUBLIC,558,0,1,69.0,130,56.0,-15.0,8.4,0.0,88.0,95.0,17.69,15.38,10.00,43.08
0511180F,2019-01-01,REIMS,MARNE,REIMS,COLLEGE PRIVE,PRIVE,474,0,0,101.5,106,97.0,4.0,11.6,0.4,84.0,99.0,28.30,38.68,18.87,85.85
0511327R,2019-01-01,REIMS,MARNE,EPERNAY,COLLEGE,PUBLIC,550,0,0,87.5,88,80.0,-4.0,9.2,-0.9,87.0,97.0,23.86,12.50,21.59,57.95
0511474A,2019-01-01,REIMS,MARNE,FRIGNICOURT,COLLEGE,PUBLIC,372,0,0,86.5,84,83.0,-2.0,10.4,0.3,87.0,98.0,22.62,15.48,23.81,61.90
0511474A,2019-01-01,REIMS,MARNE,FRIGNICOURT,COLLEGE,PUBLIC,372,0,0,86.5,78,71.0,,9.8,,92.0,95.0,14.10,21.79,8.97,44.87
0511531M,2019-01-01,REIMS,MARNE,REIMS,COLLEGE,PUBLIC,453,0,0,96.4,101,89.0,-1.0,11.6,0.5,84.0,89.0,12.87,17.82,39.60,70.30
0520039K,2019-01-01,REIMS,HAUTE-MARNE,CHAUMONT,COLLEGE,PUBLIC,439,0,0,98.8,74,66.0,-22.0,9.4,-1.2,89.0,99.0,16.22,16.22,18.92,51.35
0520052Z,2019-01-01,REIMS,HAUTE-MARNE,LANGRES,COLLEGE,PUBLIC,314,0,0,88.5,57,77.0,-10.0,9.9,-1.0,77.0,90.0,17.54,17.54,28.07,63.16
0540014X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,DOMBASLE-SUR-MEURTHE,COLLEGE,PUBLIC,388,0,0,95.7,65,92.0,2.0,11.8,1.2,94.0,97.0,12.31,36.92,24.62,73.85
0540106X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,COLLEGE,PUBLIC,570,0,0,122.9,144,90.0,-5.0,12.7,-0.1,91.0,99.0,13.19,15.97,52.78,81.94
0541211Y,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,ESSEY-LES-NANCY,COLLEGE,PUBLIC,529,0,0,105.4,99,86.0,-5.0,11.2,0.0,87.0,92.0,14.14,18.18,35.35,67.68
0541328A,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,COLLEGE,PUBLIC,628,0,0,96.5,123,85.0,-4.0,10.1,-0.8,91.0,94.0,18.70,27.64,23.58,69.92
0541452K,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LONGUYON,COLLEGE PRIVE,PRIVE,79,0,0,98.1,25,96.0,,9.5,,71.0,93.0,44.00,24.00,12.00,80.00
0541474J,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,MALZEVILLE,COLLEGE,PUBLIC,500,0,0,116.6,134,90.0,-4.0,11.4,-0.5,94.0,99.0,16.42,17.16,42.54,76.12
0541565H,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,592,1,0,91.3,130,81.0,-2.0,10.5,0.0,92.0,100.0,20.77,14.62,24.62,60.00
0541776M,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VILLERS-LES-NANCY,COLLEGE,PUBLIC,311,0,0,115.0,83,87.0,-9.0,11.9,-1.2,92.0,100.0,15.66,20.48,31.33,67.47
0541990V,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,COLLEGE PRIVE,PRIVE,287,0,0,115.4,64,88.0,-1.0,10.6,0.1,85.0,98.0,26.56,23.44,32.81,82.81
0541995A,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,COLLEGE PRIVE,PRIVE,847,0,0,133.9,203,100.0,1.0,13.9,-0.4,89.0,100.0,11.33,17.73,63.55,92.61
0550007J,2019-01-01,NANCY-METZ,MEUSE,CLERMONT-EN-ARGONNE,COLLEGE,PUBLIC,256,0,0,99.1,57,93.0,1.0,12.0,1.3,98.0,98.0,22.81,26.32,24.56,73.68
0550020Y,2019-01-01,NANCY-METZ,MEUSE,STENAY,COLLEGE,PUBLIC,432,1,0,91.1,59,76.0,-11.0,9.6,-0.7,91.0,97.0,15.25,25.42,15.25,55.93
