uai,rentree_scolaire,region_academique,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,ips
0750428H,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,114,,79.6
0750654D,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,863,,145.9
0750655E,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,898,,137.1
0750656F,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,569,,137.2
0753598D,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,337,,141.9
0753827C,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,356,,134.5
0750502N,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,209,,126.8
0750657G,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,1040,,131.7
0750660K,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,519,,144.2
0753647G,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,567,,145.8
0753838P,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,548,,136.0
0753840S,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,909,,147.4
0753842U,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,484,,148.0
0753844W,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,461,,140.7
0754025T,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT PRIVE,PRIVE,527,,123.0
0754029X,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYC POLYVAL PRIVE DES METIERS,PRIVE,342,,125.4
