uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0100059K,2021-01-01,REIMS,AUBE,TROYES,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,349,114.2,,114.2,97.0,3.0,57.0,3.0,109.0,139.0,130.0,82.0,-4.0,92.0,-1.0,98.0,2.0,26.15,18.46,,
0101016A,2021-01-01,REIMS,AUBE,SAINTE-SAVINE,LYCEE POLYVALENT,PUBLIC,795,111.0,,111.0,95.0,-1.0,56.0,-8.0,303.0,239.0,241.0,77.0,-9.0,91.0,-3.0,97.0,0.0,30.29,,,
0510053F,2021-01-01,REIMS,MARNE,SEZANNE,LYCEE POLYVALENT,PUBLIC,425,99.8,79.1,92.2,89.0,-6.0,48.0,-10.0,185.0,128.0,125.0,87.0,0.0,91.0,-3.0,93.0,-4.0,,,,
0511130B,2021-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL PRIVE,PRIVE,673,129.8,,129.8,100.0,2.0,76.0,-2.0,239.0,218.0,215.0,91.0,0.0,96.0,0.0,100.0,1.0,,,,
0511140M,2021-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL PRIVE,PRIVE,340,141.9,,141.9,99.0,1.0,74.0,1.0,122.0,115.0,102.0,94.0,7.0,96.0,1.0,100.0,1.0,,,,
0511142P,2021-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL PRIVE,PRIVE,630,132.0,,132.0,100.0,1.0,89.0,7.0,254.0,204.0,200.0,92.0,1.0,98.0,1.0,100.0,1.0,,,,
0511145T,2021-01-01,REIMS,MARNE,REIMS,LYCEE POLYVALENT PRIVE,PRIVE,355,108.4,102.3,105.9,99.0,3.0,60.0,3.0,118.0,112.0,117.0,82.0,-5.0,90.0,-4.0,99.0,2.0,41.88,13.68,1.71,1.71
0511147V,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LYC POLYVAL PRIVE DES METIERS,PRIVE,627,119.5,96.3,111.2,98.0,1.0,68.0,2.0,182.0,236.0,192.0,90.0,1.0,95.0,0.0,98.0,0.0,42.71,19.79,5.21,5.21
0520021R,2021-01-01,REIMS,HAUTE-MARNE,LANGRES,LYCEE POLYVALENT,PUBLIC,686,108.6,80.6,104.6,96.0,0.0,62.0,0.0,231.0,217.0,195.0,90.0,2.0,95.0,0.0,97.0,0.0,44.10,20.51,8.21,8.21
0520028Y,2021-01-01,REIMS,HAUTE-MARNE,SAINT-DIZIER,LYCEE POLYVALENT,PUBLIC,257,102.5,,102.5,94.0,0.0,63.0,10.0,101.0,79.0,81.0,80.0,-6.0,96.0,2.0,99.0,3.0,30.86,22.22,,
0520679F,2021-01-01,REIMS,HAUTE-MARNE,SAINT-DIZIER,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,315,118.3,,118.3,98.0,1.0,80.0,11.0,126.0,128.0,92.0,91.0,2.0,97.0,2.0,100.0,2.0,31.52,25.00,17.39,17.39
0540070H,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VANDOEUVRE-LES-NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,827,112.6,,112.6,97.0,2.0,65.0,4.0,227.0,282.0,251.0,86.0,1.0,94.0,0.0,97.0,0.0,35.86,24.70,,
0541270M,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,PONT-A-MOUSSON,LPO LYCEE DES METIERS,PUBLIC,276,113.9,85.4,97.5,94.0,-1.0,48.0,-9.0,140.0,92.0,75.0,85.0,-2.0,91.0,-3.0,100.0,3.0,38.67,12.00,,
0541313J,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL PRIVE,PRIVE,250,130.6,,130.6,100.0,2.0,75.0,0.0,99.0,82.0,82.0,87.0,-3.0,97.0,1.0,100.0,1.0,,,,
0541319R,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL PRIVE,PRIVE,152,115.8,,115.8,98.0,3.0,52.0,-6.0,53.0,53.0,31.0,61.0,-27.0,77.0,-17.0,98.0,1.0,,,,
0541986R,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,JARVILLE-LA-MALGRANGE,LYCEE GENERAL PRIVE,PRIVE,563,138.8,,138.8,99.0,0.0,86.0,5.0,211.0,170.0,184.0,90.0,-1.0,98.0,2.0,100.0,1.0,,,,
0542293Z,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,LPO LYCEE DES METIERS,PUBLIC,199,111.7,82.2,97.6,99.0,4.0,49.0,-4.0,76.0,42.0,57.0,84.0,0.0,94.0,1.0,97.0,1.0,31.58,21.05,5.26,5.26
0550008K,2021-01-01,NANCY-METZ,MEUSE,COMMERCY,LYCEE POLYVALENT,PUBLIC,561,103.5,78.5,96.8,90.0,-3.0,51.0,-1.0,188.0,195.0,173.0,88.0,2.0,91.0,-2.0,93.0,-3.0,28.32,14.45,9.83,9.83
0570057C,2021-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,899,93.8,,93.8,92.0,1.0,47.0,4.0,312.0,377.0,321.0,77.0,-4.0,89.0,0.0,93.0,1.0,31.15,12.46,3.43,3.43
0570085H,2021-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,LPO LYCEE DES METIERS,PUBLIC,1096,103.6,77.7,98.9,93.0,-1.0,58.0,3.0,383.0,349.0,346.0,87.0,1.0,94.0,1.0,96.0,0.0,29.77,21.39,,
0570108H,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LPO LYCEE DES METIERS,PUBLIC,222,107.8,84.4,90.6,92.0,-2.0,47.0,0.0,69.0,82.0,90.0,76.0,-6.0,89.0,-3.0,95.0,-1.0,28.89,10.00,,
0570216A,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GENERAL PRIVE,PRIVE,875,133.4,,133.4,100.0,1.0,92.0,9.0,314.0,289.0,290.0,93.0,1.0,98.0,1.0,100.0,1.0,,,,
0572757M,2021-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1528,112.5,,112.5,94.0,-1.0,59.0,0.0,499.0,516.0,471.0,85.0,-1.0,93.0,-1.0,96.0,-1.0,30.15,20.59,10.83,10.83
0573770N,2021-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,232,79.0,,79.0,99.0,4.0,68.0,15.0,54.0,85.0,88.0,56.0,-26.0,90.0,-2.0,99.0,4.0,37.50,14.77,4.55,4.55
